concepto,valor_2025_mm,valor_2024_mm,variacion
Total activos,43916278,42549684,3.2%
Creditos comerciales,16547863,16235263,1.9%
Creditos vivienda,8520104,7874029,8.2%
Creditos consumo,3051139,2964075,2.9%
Total creditos clientes,28119106,27073367,3.9%
Total pasivos,39607525,38574853,2.7%
Patrimonio atribuible propietarios,4305006,3971313,8.4%
Utilidad atribuible propietarios,428092,376627,13.7%
Ingreso neto intereses,1116737,1062319,5.1%
Ingreso neto reajustes,9340,115836,-91.9%
Ingreso neto comisiones,216841,200638,8.1%
Total ingresos operacionales,1518134,1625751,-6.6%
Total gastos operacionales,834789,808824,3.2%
Gasto perdidas crediticias,319329,323855,-1.4%
